DATA_SNAPSHOT,ID_OPORTUNIDADE,CUSTOMER,VENDEDOR, TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,DATA DA ULTIMA ATUALIZAÇÃO,DATA DE FECHAMENTO,CHAVE,STATUS ANTERIOR
13/04/2026,OPP-SAM-0426-016,SAMBAÍBA,Bruno Reis,, Lead , Parado ,,0%,,13/04/2026,,,
03/04/2026,OPP-SAM-0426-017,SAMBAÍBA,Bruno Reis, R$ - , Negociação , Parado ,Médio,0%,,14/05/2026,,,
03/04/2026,OPP-Sam-0426-017,Sambaíba G1,Bruno Reis,, Lead ,Parado,,0%,,03/04/2026,,,14/05/2026
13/04/2026,OPP-SAM-0426-017,SAMBAÍBA G1,Bruno Reis,, Lead , Parado ,,0%,,13/04/2026,,,
03/04/2026,OPP-SAM-0426-018,SAMBAÍBA G1,Bruno Reis, R$ - , Negociação , Parado ,Médio,0%,,14/05/2026,,,
13/04/2026,OPP-SAM-0426-019,SAMBAIBA G3,Bruno Reis,, Proposta , Aguardando interno ,Médio,,,14/05/2026,,,
14/04/2026,OPP-SAM-0426-020,SAMBAIBA G4,Bruno Reis,, Proposta , Aguardando interno ,Médio,,,14/05/2026,,,
03/04/2026,OPP-SHC-0426-012,SHC JAC MOTORS,Felipe Hanke," R$  90.000,00 ",,,,30%,,03/04/2026,,,
13/04/2026,OPP-SHC-0426-012,SHC JAC MOTORS,Felipe Hanke," R$ 90.000,00 ", Negociação ,Parado,,30%,Verificar com Flávio,13/04/2026,,,
03/04/2026,OPP-SHC-0426-012,SHC JAC MOTORS,Felipe Hanke,,Qualificação,Parado,,30%,Verificar com Flávio,12/05/2026,,,
,,SP TRANS,Bruno Reis," R$  23.400,00 ",,Ganho,,100%,,,,,
03/04/2026,OPP-Tra-0426-018,Transpass (RV Trans),Bruno Reis,, Lead ,Parado,,0%,,03/04/2026,,,
13/04/2026,OPP-TRA-0426-018,TRANSPASS (RV TRANS),Bruno Reis,, Lead , Parado ,,0%,,13/04/2026,,,
03/04/2026,OPP-TRA-0426-021,TRANSPASS (RV TRANS),Bruno Reis, R$ - , Lead , Parado ,Baixo,0%,,14/05/2026,,,
03/04/2026,OPP-Tra-0426-025,Transpass (RV Trans),Bruno Reis,, Lead ,Parado,,0%,,03/04/2026,,,14/05/2026
13/04/2026,OPP-Tra-0426-025,TRANSPASS (RV TRANS),Bruno Reis,, Lead , Parado ,,0%,,13/04/2026,,,
03/04/2026,OPP-TRA-0426-029,TRANSPASS (RV TRANS),Bruno Reis, R$ - ,Qualificação,Parado,,0%,,11/05/2026,,,
03/04/2026,OPP-UBE-0426-016,UBERLANDIA,Felipe Hanke,,,,,0%,,03/04/2026,,,11/05/2026
13/04/2026,OPP-UBE-0426-016,UBERLANDIA,Felipe Hanke,, Negociação ,Parado,,0%,"Conversa realizada com Paulo, enviei datasheet do BESS para esclarecimento, fazer contato para entender sobre outras oportunidades",13/04/2026,,,
03/04/2026,OPP-UBE-0426-016,UBERLANDIA,Felipe Hanke,,Proposta,Parado,,0%,"Conversa realizada com Paulo, enviei datasheet do BESS para esclarecimento, fazer contato para entender sobre outras oportunidades",12/05/2026,,,
03/04/2026,OPP-Upb-0426-019,Upbus,Bruno Reis," R$  1.200.000,00 ", Negociação ,,,100%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-UPB-0426-019,UPBUS,Bruno Reis," R$  1.200.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-UPB-0426-022,UPBUS,Bruno Reis," R$ 1.200.000,00 ", Negociação , Aguardando cliente ,Médio,100%,,11/05/2026,,,
13/04/2026,OPP-VAL-0426-019,VALE VARGEM GRANDE,Felipe Hanke,,Qualificação,Em andamento,,,Aguardando envio de informações para especificação de Bess para canteiro de obras e Bombas,13/04/2026,,,
13/04/2026,OPP-VAL-0426-021,VALE VARGEM GRANDE,Felipe Hanke,,Proposta,Aguardando processo interno,,80%,Aguardando envio de informações para especificação de Bess para canteiro de obras e Bombas,12/05/2026,,,
03/04/2026,OPP-VIA-0426-006,VIAÇÃO CIDADE SORRISO,Felipe Hanke," R$  2.500.000,00 ",,,,100%,,03/04/2026,,,
13/04/2026,OPP-VIA-0426-006,VIAÇÃO CIDADE SORRISO,Felipe Hanke," R$ 2.500.000,00 ", Negociação ,Aguardando cliente,,100%,"Proposta Comercial e Técnica enviada, Acompanhar grupo Gulim",13/04/2026,,,
03/04/2026,OPP-VIA-0426-006,VIAÇÃO CIDADE SORRISO,Felipe Hanke," R$  2.115.818,00 ",Fechamento,Aguardando cliente,,100%,"Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus",12/05/2026,,,
03/04/2026,OPP-VIA-0426-007,VIAÇÃO GLÓRIA,Felipe Hanke," R$  2.500.000,00 ",,,,100%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-VIA-0426-007,VIAÇÃO GLÓRIA,Felipe Hanke," R$ 2.500.000,00 ", Negociação ,Aguardando cliente,,100%,"Proposta Comercial e Técnica enviada, Acompanhar grupo Gulim",13/04/2026,,,
03/04/2026,OPP-VIA-0426-007,VIAÇÃO GLÓRIA,Felipe Hanke," R$  2.115.818,00 ",Fechamento,Aguardando cliente,,100%,"Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus",12/05/2026,,,
03/04/2026,OPP-Via-0426-024,Viação Metrópole,Bruno Reis," R$  2.800.000,00 ", Negociação ,,,50%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-VIA-0426-025,VIAÇÃO METRÓPOLE A E Carvalho (ZL),Bruno Reis,,,,,,,13/04/2026,,,
04/04/2026,OPP-VIA-0426-028,VIAÇÃO METRÓPOLE A E Carvalho (ZL),Bruno Reis," R$ 2.800.000,00 ", Proposta , Aguardando interno ,,,,13/05/2026,,,
